code,system
G557100,readv2
G557500,readv2
G557011,readv2
C373G00,readv2
G557000,readv2
G558400,readv2
G558z00,readv2
G554500,readv2
G554100,readv2
G554511,readv2
G559.00,readv2
G55z.00,readv2
G55y.00,readv2
G558000,readv2
G552.00,readv2
G55A.11,readv2
I43,readv2
I42.9,readv2
Gyu5R00,readv2
Gyu5P00,readv2
I42.8,readv2
F391B00,readv2
G558100,readv2
G558200,readv2
G55..00,readv2
G558.00,readv2
58938.0,readv2
68685.0,readv2
105651.0,readv2
27683.0,readv2
92266.0,readv2
3204.0,readv2
64837.0,readv2
21852.0,readv2
57306.0,readv2
70855.0,readv2
44272.0,readv2
104658.0,readv2
15990.0,readv2
101015.0,readv2
40834.0,readv2
97780.0,readv2
41488.0,readv2
98634.0,readv2
100966.0,readv2
105398.0,readv2
20035.0,readv2
22993.0,readv2
104529.0,readv2
7320.0,readv2
30667.0,readv2
56635.0,readv2
55850.0,readv2
102955.0,readv2
64673.0,readv2
105798.0,readv2
98020.0,readv2
97617.0,readv2
42043.0,readv2
49844.0,readv2
G55y000,readv2
I42.7,readv2
G550.00,readv2
I42.3,readv2
C373300,readv2
G554200,readv2
G557z00,readv2
G557.00,readv2
G554.00,readv2
G554z00,readv2
Gyu5N00,readv2
I42.5,readv2
G343.00,readv2
I25.5,readv2